id,episode_id,user_id,played_at
02eae135-d6c4-44de-be2b-55a44aa205d6,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-28 19:21:58.858648+00
05dbb352-61fb-44b4-9499-2ecd3e196ff2,84060472-96b1-42b2-9bc4-cceb721b2edc,27d1ad60-6d73-439d-b4b2-4a1827371c24,2026-03-22 06:35:11.280778+00
0a7fd700-9474-4c3a-a501-782ae89977ac,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-16 12:05:17.176143+00
0e0669a4-70f5-4384-b06f-9329870da9f6,4b033d7c-9aa4-415b-9f6e-c230aa494b95,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-14 22:29:13.570986+00
0e4a83cf-0f06-4b6b-831d-fc90ebe459d3,35e6ec3c-4ba9-4b9c-a27b-e9c6d3e99c0f,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-21 21:56:54.845686+00
1080c358-93d7-4fcf-af52-1009663d80cb,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-12 19:19:56.936485+00
13b0b7e4-0e8f-4b56-8cb3-768b262d2b9e,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-10 19:06:48.194378+00
154e2bda-6713-4e94-a500-1e57cb5e32c4,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-14 22:00:47.312707+00
1623dc2a-a9c9-4f32-b109-18afc5dc6121,77ddd59b-a363-4bff-bfc3-6507608bdcd0,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-15 20:47:02.980668+00
1704e2c9-33d7-45dc-95ef-332db2384151,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-11 09:56:14.04999+00
1710a2f7-5054-47cb-9c19-49875c02c81c,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-19 14:41:48.067374+00
1843c33e-4de9-456f-9a88-c4b8a224d319,35e6ec3c-4ba9-4b9c-a27b-e9c6d3e99c0f,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-15 20:46:46.367257+00
1e1799d7-7c8b-495f-a621-f030d2ee652d,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-11 18:01:37.176675+00
20557a19-059c-4feb-a648-9a5a63fcf109,84060472-96b1-42b2-9bc4-cceb721b2edc,8798340d-7df4-4160-942a-5d222ea427b6,2026-04-03 13:04:53.454217+00
21cdd097-dcd6-48cf-a31d-42d8bfa97414,35e6ec3c-4ba9-4b9c-a27b-e9c6d3e99c0f,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-15 11:48:35.96263+00
24997f55-c4df-467a-a9b6-1506f3948473,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-11 09:39:10.539218+00
28491746-39ac-4025-92cc-84f0f05a5c04,74ee5b61-0633-4a0f-8901-f9422ed8d107,27d1ad60-6d73-439d-b4b2-4a1827371c24,2026-03-22 06:49:02.51534+00
2aca127e-072f-4ef7-ae0f-4974775a6698,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-30 18:17:27.346087+00
2fe99288-9db9-46f2-9e37-9bd8d30fdee1,84060472-96b1-42b2-9bc4-cceb721b2edc,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-15 20:25:20.596685+00
33949c0a-f6f4-4e4f-bae9-700c2d49a568,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-10 19:19:35.085256+00
34e8a13d-4ae2-4567-ab0a-9b2b698de4d7,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-28 13:18:58.742195+00
3d15afc6-107a-49f5-9338-51ab4387f36f,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-26 23:10:21.967457+00
3f69581d-5ce1-49af-bfff-f2ce8711f8db,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-19 13:04:43.676841+00
45539d60-8b7b-414d-929c-bd5b3483d776,d4bc51d1-6a48-4aba-93be-432b1bdc2056,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-14 22:28:53.193058+00
485905ed-1296-437f-8dd2-f8c241616c78,84060472-96b1-42b2-9bc4-cceb721b2edc,27d1ad60-6d73-439d-b4b2-4a1827371c24,2026-03-22 06:38:12.859932+00
486a6d36-ea94-4286-b742-192fea48264c,74ee5b61-0633-4a0f-8901-f9422ed8d107,8798340d-7df4-4160-942a-5d222ea427b6,2026-03-26 23:18:52.422373+00
