id,title,description,youtube_url,video_id,category,level,author_id,thumbnail_url,duration,tags,views_count,enrollments_count,likes_count,created_at,updated_at,content_type
878ec12a-4bd0-44d3-8cae-c4d521308477,"Eco204 Basic Mathematics for Economics ",,,,School,Intermediate,8798340d-7df4-4160-942a-5d222ea427b6,,,,0,1,1,2026-03-15 21:09:06.65506+00,2026-03-15 21:09:06.65506+00,document
be6599b5-f457-4b62-85a3-fb26cdba11fa,Indifference curves - income and substitution effects of Price change,"This will give you the fundamental understanding of the income and substitution effects of changes in price of a commodity ",https://youtu.be/vQsDCo-xVZY?si=d2RMI9sQPThazq9z,vQsDCo-xVZY,School,Beginner,8798340d-7df4-4160-942a-5d222ea427b6,https://img.youtube.com/vi/vQsDCo-xVZY/hqdefault.jpg,,,3,0,1,2026-04-01 10:13:44.258398+00,2026-04-01 10:13:44.258398+00,video
eadf2cf6-0043-42a5-a0af-2fb2526922d5,"Intro to game theory ",,https://youtu.be/YueJukoFBMU?si=67lsPEvucK2kXcNJ,YueJukoFBMU,School,Beginner,8798340d-7df4-4160-942a-5d222ea427b6,https://img.youtube.com/vi/YueJukoFBMU/hqdefault.jpg,,,3,1,1,2026-03-28 16:57:03.51863+00,2026-03-28 16:57:03.51863+00,video
